# A complete list of qualifier names and the feature names they map to from the
# Genbank flat file format definition as defined at
# http://www.ncbi.nlm.nih.gov/projects/collab/FT/index.html
# in appendix 4.
# Author: Bruce Ashton
# Date last modified: 2014-06-17

# QUALIFIER            FEATURE
experiment             LTR
experiment             mat_peptide
experiment             misc_binding
experiment             misc_difference
experiment             misc_feature
experiment             misc_recomb
experiment             misc_RNA
experiment             misc_signal
experiment             misc_structure
experiment             mobile_element
experiment             modified_base
experiment             mRNA
experiment             ncRNA
experiment             N_region
experiment             old_sequence
experiment             operon
experiment             oriT
experiment             polyA_signal
experiment             polyA_site
experiment             precursor_RNA
experiment             prim_transcript
experiment             primer_bind
experiment             promoter
experiment             protein_bind
experiment             RBS
experiment             regulatory
experiment             repeat_region
experiment             rRNA
experiment             S_region
experiment             sig_peptide
experiment             stem_loop
experiment             STS
experiment             TATA_signal
experiment             telomere
experiment             terminator
experiment             tmRNA
experiment             transit_peptide
experiment             tRNA
experiment             unsure
experiment             V_region
experiment             V_segment
experiment             variation
experiment             3'UTR
experiment             5'UTR
experiment             -10_signal
experiment             -35_signal
focus                  source
frequency              modified_base
frequency              variation
function               CDS
function               exon
function               gene
function               iDNA
function               intron
function               LTR
function               mat_peptide
function               misc_binding
function               misc_feature
function               misc_RNA
function               misc_signal
function               misc_structure
function               mobile_element
function               mRNA
function               ncRNA
function               operon
function               precursor_RNA
function               prim_transcript
function               promoter
function               protein_bind
function               regulatory
function               repeat_region
function               rRNA
function               sig_peptide
function               stem_loop
function               tmRNA
function               transit_peptide
function               tRNA
function               3'UTR
function               5'UTR
gap_type               assembly_gap
gene                   attenuator
gene                   C_region
gene                   CAAT_signal
gene                   CDS
gene                   D-loop
gene                   D_segment
gene                   enhancer
gene                   exon
gene                   GC_signal
gene                   gene
gene                   iDNA
gene                   intron
gene                   J_segment
gene                   LTR
gene                   mat_peptide
gene                   misc_binding
gene                   misc_difference
gene                   misc_feature
gene                   misc_recomb
gene                   misc_RNA
gene                   misc_signal
gene                   misc_structure
gene                   mobile_element
gene                   modified_base
gene                   mRNA
gene                   ncRNA
gene                   N_region
gene                   old_sequence
gene                   oriT
gene                   polyA_signal
gene                   polyA_site
gene                   precursor_RNA
gene                   prim_transcript
gene                   primer_bind
gene                   promoter
gene                   protein_bind
gene                   RBS
gene                   regulatory
gene                   repeat_region
gene                   rRNA
gene                   S_region
gene                   sig_peptide
gene                   stem_loop
gene                   STS
gene                   TATA_signal
gene                   terminator
gene                   tmRNA
gene                   transit_peptide
gene                   tRNA
gene                   unsure
gene                   V_region
gene                   V_segment
gene                   variation
gene                   3'UTR
gene                   5'UTR
gene                   -10_signal
gene                   -35_signal
gene_synonym           attenuator
gene_synonym           C_region
gene_synonym           CAAT_signal
gene_synonym           CDS
gene_synonym           D-loop
gene_synonym           D_segment
gene_synonym           enhancer
gene_synonym           exon
gene_synonym           GC_signal
gene_synonym           gene
gene_synonym           iDNA
gene_synonym           intron
gene_synonym           J_segment
gene_synonym           LTR
gene_synonym           mat_peptide
gene_synonym           misc_binding
gene_synonym           misc_difference
gene_synonym           misc_feature
gene_synonym           misc_recomb
gene_synonym           misc_RNA
gene_synonym           misc_signal
gene_synonym           misc_structure
gene_synonym           mobile_element
gene_synonym           modified_base
gene_synonym           mRNA
gene_synonym           ncRNA
gene_synonym           N_region
gene_synonym           old_sequence
gene_synonym           oriT
gene_synonym           polyA_signal
gene_synonym           polyA_site
gene_synonym           precursor_RNA
gene_synonym           prim_transcript
gene_synonym           primer_bind
gene_synonym           promoter
gene_synonym           protein_bind
gene_synonym           RBS
gene_synonym           regulatory
gene_synonym           repeat_region
gene_synonym           rRNA
gene_synonym           S_region
gene_synonym           sig_peptide
gene_synonym           stem_loop
gene_synonym           STS
gene_synonym           TATA_signal
gene_synonym           terminator
gene_synonym           tmRNA
gene_synonym           transit_peptide
gene_synonym           tRNA
gene_synonym           unsure
gene_synonym           V_region
gene_synonym           V_segment
gene_synonym           variation
gene_synonym           3'UTR
gene_synonym           5'UTR
gene_synonym           -10_signal
gene_synonym           -35_signal
germline               source
haplogroup             source
haplotype              source
host                   source
identified_by          source
inference              attenuator
inference              C_region
inference              CAAT_signal
inference              CDS
inference              centromere
inference              D-loop
inference              D_segment
inference              enhancer
inference              exon
inference              gap
inference              GC_signal
inference              gene
inference              iDNA
inference              intron
inference              J_segment
inference              LTR
inference              mat_peptide
inference              misc_binding
inference              misc_difference
inference              misc_feature
inference              misc_recomb
inference              misc_RNA
inference              misc_signal
inference              misc_structure
inference              mobile_element
inference              modified_base
inference              mRNA
inference              ncRNA
inference              N_region
inference              old_sequence
inference              operon
inference              oriT
inference              polyA_signal
inference              polyA_site
inference              precursor_RNA
inference              prim_transcript
inference              primer_bind
inference              promoter
inference              protein_bind
inference              RBS
inference              regulatory
inference              repeat_region
inference              rRNA
inference              S_region
inference              sig_peptide
inference              stem_loop
inference              STS
inference              TATA_signal
inference              telomere
inference              terminator
inference              tmRNA
inference              transit_peptide
inference              tRNA
inference              unsure
inference              V_region
inference              V_segment
inference              variation
inference              3'UTR
inference              5'UTR
inference              -10_signal
inference              -35_signal
isolate                source
isolation_source       source
lab_host               source
lat_lon                source
linkage_evidence       assembly_gap
locus_tag              attenuator
locus_tag              C_region
locus_tag              CAAT_signal
locus_tag              CDS
locus_tag              D-loop
locus_tag              D_segment
locus_tag              enhancer
locus_tag              exon
locus_tag              GC_signal
locus_tag              gene
locus_tag              iDNA
locus_tag              intron
locus_tag              J_segment
locus_tag              LTR
locus_tag              mat_peptide
locus_tag              misc_binding
locus_tag              misc_difference
locus_tag              misc_feature
locus_tag              misc_recomb
locus_tag              misc_RNA
locus_tag              misc_signal
locus_tag              misc_structure
locus_tag              mobile_element
locus_tag              modified_base
locus_tag              mRNA
locus_tag              ncRNA
locus_tag              N_region
locus_tag              old_sequence
locus_tag              oriT
locus_tag              polyA_signal
locus_tag              polyA_site
locus_tag              precursor_RNA
locus_tag              prim_transcript
locus_tag              primer_bind
locus_tag              promoter
locus_tag              protein_bind
locus_tag              RBS
locus_tag              regulatory
locus_tag              repeat_region
locus_tag              rRNA
locus_tag              S_region
locus_tag              sig_peptide
locus_tag              stem_loop
locus_tag              STS
locus_tag              TATA_signal
locus_tag              terminator
locus_tag              tmRNA
locus_tag              transit_peptide
locus_tag              tRNA
locus_tag              unsure
locus_tag              V_region
locus_tag              V_segment
locus_tag              variation
locus_tag              3'UTR
locus_tag              5'UTR
locus_tag              -10_signal
locus_tag              -35_signal
macronuclear           source
map                    attenuator
map                    C_region
map                    CAAT_signal
map                    CDS
map                    D-loop
map                    D_segment
map                    enhancer
map                    exon
map                    gap
map                    GC_signal
map                    gene
map                    iDNA
map                    intron
map                    J_segment
map                    LTR
map                    mat_peptide
map                    misc_binding
map                    misc_difference
map                    misc_feature
map                    misc_recomb
map                    misc_RNA
map                    misc_signal
map                    misc_structure
map                    mobile_element
map                    modified_base
map                    mRNA
map                    ncRNA
map                    N_region
map                    old_sequence
map                    operon
map                    oriT
map                    polyA_signal
map                    polyA_site
map                    precursor_RNA
map                    prim_transcript
map                    primer_bind
map                    promoter
map                    protein_bind
map                    RBS
map                    regulatory
map                    repeat_region
map                    rRNA
map                    S_region
map                    sig_peptide
map                    source
map                    stem_loop
map                    STS
map                    TATA_signal
map                    terminator
map                    tmRNA
map                    transit_peptide
map                    tRNA
map                    unsure
map                    V_region
map                    V_segment
map                    variation
map                    3'UTR
map                    5'UTR
map                    -10_signal
map                    -35_signal
mating_type            source
mobile_element_type    mobile_element
mod_base               modified_base
mol_type               source
ncRNA_class            ncRNA
note                   attenuator
note                   C_region
note                   CAAT_signal
note                   CDS
note                   centromere
note                   D-loop
note                   D_segment
note                   enhancer
note                   exon
note                   gap
note                   GC_signal
note                   gene
note                   iDNA
note                   intron
note                   J_segment
note                   LTR
note                   mat_peptide
note                   misc_binding
note                   misc_difference
note                   misc_feature
note                   misc_recomb
note                   misc_RNA
note                   misc_signal
note                   misc_structure
note                   mobile_element
note                   modified_base
note                   mRNA
note                   ncRNA
note                   N_region
note                   old_sequence
note                   operon
note                   oriT
note                   polyA_signal
note                   polyA_site
note                   precursor_RNA
note                   prim_transcript
note                   primer_bind
note                   promoter
note                   protein_bind
note                   RBS
note                   regulatory
note                   repeat_region
note                   rRNA
note                   S_region
note                   sig_peptide
note                   source
note                   stem_loop
note                   STS
note                   TATA_signal
note                   telomere
note                   terminator
note                   tmRNA
note                   transit_peptide
note                   tRNA
note                   unsure
note                   V_region
note                   V_segment
note                   variation
note                   3'UTR
note                   5'UTR
note                   -10_signal
note                   -35_signal
number                 CDS
number                 exon
number                 iDNA
number                 intron
number                 misc_feature
old_locus_tag          attenuator
old_locus_tag          C_region
old_locus_tag          CAAT_signal
old_locus_tag          CDS
old_locus_tag          D-loop
old_locus_tag          D_segment
old_locus_tag          enhancer
old_locus_tag          exon
old_locus_tag          GC_signal
old_locus_tag          gene
old_locus_tag          iDNA
old_locus_tag          intron
old_locus_tag          J_segment
old_locus_tag          LTR
old_locus_tag          mat_peptide
old_locus_tag          misc_binding
old_locus_tag          misc_difference
old_locus_tag          misc_feature
old_locus_tag          misc_recomb
old_locus_tag          misc_RNA
old_locus_tag          misc_signal
old_locus_tag          misc_structure
old_locus_tag          mobile_element
old_locus_tag          modified_base
old_locus_tag          mRNA
old_locus_tag          ncRNA
old_locus_tag          N_region
old_locus_tag          old_sequence
old_locus_tag          oriT
old_locus_tag          polyA_signal
old_locus_tag          polyA_site
old_locus_tag          precursor_RNA
old_locus_tag          prim_transcript
old_locus_tag          primer_bind
old_locus_tag          promoter
old_locus_tag          protein_bind
old_locus_tag          RBS
old_locus_tag          regulatory
old_locus_tag          repeat_region
old_locus_tag          rRNA
old_locus_tag          S_region
old_locus_tag          sig_peptide
old_locus_tag          stem_loop
old_locus_tag          STS
old_locus_tag          TATA_signal
old_locus_tag          terminator
old_locus_tag          tmRNA
old_locus_tag          transit_peptide
old_locus_tag          tRNA
old_locus_tag          unsure
old_locus_tag          V_region
old_locus_tag          V_segment
old_locus_tag          variation
old_locus_tag          3'UTR
old_locus_tag          5'UTR
old_locus_tag          -10_signal
old_locus_tag          -35_signal
operon                 attenuator
operon                 CDS
operon                 gene
operon                 misc_RNA
operon                 misc_signal
operon                 mRNA
operon                 ncRNA
operon                 operon
operon                 precursor_RNA
operon                 prim_transcript
operon                 promoter
operon                 protein_bind
operon                 regulatory
operon                 rRNA
operon                 stem_loop
operon                 terminator
operon                 tRNA
operon                 -10_signal
operon                 -35_signal
organelle              source
organism               source
PCR_conditions         primer_bind
PCR_primers            source
phenotype              attenuator
phenotype              gene
phenotype              misc_difference
phenotype              misc_feature
phenotype              misc_signal
phenotype              operon
phenotype              promoter
phenotype              regulatory
phenotype              variation
plasmid                source
pop_variant            source
product                C_region
product                CDS
product                D_segment
product                exon
product                gene
product                J_segment
product                mat_peptide
product                misc_feature
product                misc_RNA
product                mRNA
product                ncRNA
product                N_region
product                precursor_RNA
product                rRNA
product                S_region
product                sig_peptide
product                tmRNA
product                transit_peptide
product                tRNA
product                V_region
product                V_segment
product                variation
protein_id             CDS
proviral               source
pseudo                 C_region
pseudo                 CDS
pseudo                 D_segment
pseudo                 exon
pseudo                 gene
pseudo                 intron
pseudo                 J_segment
pseudo                 mat_peptide
pseudo                 misc_feature
pseudo                 misc_RNA
pseudo                 mRNA
pseudo                 ncRNA
pseudo                 N_region
pseudo                 operon
pseudo                 promoter
pseudo                 regulatory
pseudo                 rRNA
pseudo                 S_region
pseudo                 sig_peptide
pseudo                 tmRNA
pseudo                 transit_peptide
pseudo                 tRNA
pseudo                 V_region
pseudo                 V_segment
pseudogene             C_region
pseudogene             CDS
pseudogene             D_segment
pseudogene             exon
pseudogene             gene
pseudogene             intron
pseudogene             J_segment
pseudogene             mat_peptide
pseudogene             misc_feature
pseudogene             misc_RNA
pseudogene             mRNA
pseudogene             ncRNA
pseudogene             N_region
pseudogene             operon
pseudogene             promoter
pseudogene             regulatory
pseudogene             rRNA
pseudogene             S_region
pseudogene             sig_peptide
pseudogene             tmRNA
pseudogene             transit_peptide
pseudogene             tRNA
pseudogene             V_region
pseudogene             V_segment
rearranged             source
regulatory_class       regulatory
replace                misc_difference
replace                old_sequence
replace                unsure
replace                variation
ribosomal_slippage     CDS
rpt_family             mobile_element
rpt_family             oriT
rpt_family             repeat_region
rpt_type               mobile_element
rpt_type               oriT
rpt_type               repeat_region
rpt_type               telomere
rpt_unit_range         oriT
rpt_unit_range         repeat_region
rpt_unit_range         telomere
rpt_unit_seq           oriT
rpt_unit_seq           repeat_region
rpt_unit_seq           telomere
satellite              repeat_region
segment                source
serotype               source
serovar                source
sex                    source
specimen_voucher       source
standard_name          C_region
standard_name          CDS
standard_name          centromere
standard_name          D_segment
standard_name          enhancer
standard_name          exon
standard_name          gene
standard_name          iDNA
standard_name          intron
standard_name          J_segment
standard_name          LTR
standard_name          mat_peptide
standard_name          misc_difference
standard_name          misc_feature
standard_name          misc_recomb
standard_name          misc_RNA
standard_name          misc_signal
standard_name          misc_structure
standard_name          mobile_element
standard_name          mRNA
standard_name          ncRNA
standard_name          N_region
standard_name          operon
standard_name          oriT
standard_name          precursor_RNA
standard_name          prim_transcript
standard_name          primer_bind
standard_name          promoter
standard_name          protein_bind
standard_name          RBS
standard_name          regulatory
standard_name          repeat_region
standard_name          rRNA
standard_name          S_region
standard_name          sig_peptide
standard_name          stem_loop
standard_name          STS
standard_name          telomere
standard_name          terminator
standard_name          tmRNA
standard_name          transit_peptide
standard_name          tRNA
standard_name          V_region
standard_name          V_segment
standard_name          variation
standard_name          3'UTR
standard_name          5'UTR
standard_name          -10_signal
standard_name          -35_signal
strain                 source
sub_clone              source
sub_species            source
sub_strain             source
tag_peptide            tmRNA
tissue_lib             source
tissue_type            source
trans_splicing         CDS
trans_splicing         exon
trans_splicing         gene
trans_splicing         intron
trans_splicing         misc_RNA
trans_splicing         mRNA
trans_splicing         ncRNA
trans_splicing         precursor_RNA
trans_splicing         tRNA
trans_splicing         3'UTR
trans_splicing         5'UTR
transgenic             source
transl_except          CDS
transl_table           CDS
translation            CDS
type_material          source
variety                source
